web-scraper-order,web-scraper-start-url,squadraCasa,squadraOspite,selectorRisultato,linkPartita,linkPartita-href,selectorQuota1Media,selectorQuotaxMedia,selectorQuota2Media,buttonUnderOver,selectorQuotaOver25Media,selectorQuotaUnder25Media,buttonGoalNoGoal,paginationButton,selectorQuotaGoalMedia,selectorQuotaNoGoalMedia
"1739930199-402","https://www.oddsportal.com/it/football/spain/laliga/results/","Girona","Ath. Bilbao","2–1","14:00Girona22–1Ath. Bilbao1","https://www.oddsportal.com/it/football/spain/laliga/girona-ath-bilbao-4Ef51XCt/","2.34","3.21","3.11","","1.96","1.78","","","1.73","1.99"
"1739930208-403","https://www.oddsportal.com/it/football/spain/laliga/results/","Alaves","Barcellona","0–3","16:15Alaves00–3Barcellona3","https://www.oddsportal.com/it/football/spain/laliga/alaves-barcellona-hzRnqjcC/","4.54","4.03","1.69","","1.56","2.31","","","1.58","2.24"
"1739930218-404","https://www.oddsportal.com/it/football/spain/laliga/results/","Siviglia","Betis","1–0","18:30Siviglia11–0Betis0","https://www.oddsportal.com/it/football/spain/laliga/siviglia-betis-YgnMckC5/","2.67","3.14","2.73","","2.10","1.67","","","1.82","1.89"
"1739930226-405","https://www.oddsportal.com/it/football/spain/laliga/results/","Real Sociedad","Atl. Madrid","1–1","21:00Real Sociedad11–1Atl. Madrid1","https://www.oddsportal.com/it/football/spain/laliga/real-sociedad-atl-madrid-CvbDaBsg/","2.77","3.01","2.71","","2.40","1.52","","","1.94","1.77"
"1739930235-406","https://www.oddsportal.com/it/football/spain/laliga/results/","Leganes","Real Madrid","0–3","18:30Leganes00–3Real Madrid3","https://www.oddsportal.com/it/football/spain/laliga/leganes-real-madrid-pl4Y7lh3/","8.78","4.84","1.35","","1.72","2.02","","","2.04","1.69"
"1739930245-407","https://www.oddsportal.com/it/football/spain/laliga/results/","Ath. Bilbao","Real Sociedad","1–0","21:00Ath. Bilbao11–0Real Sociedad0","https://www.oddsportal.com/it/football/spain/laliga/ath-bilbao-real-sociedad-WpvagkwA/","2.37","2.88","3.46","","2.57","1.46","","","2.09","1.67"
"1739930253-408","https://www.oddsportal.com/it/football/spain/laliga/results/","Maiorca","Valencia","2–1","21:00Maiorca22–1Valencia1","https://www.oddsportal.com/it/football/spain/laliga/maiorca-valencia-j97t2JLs/","2.11","2.78","4.38","","3.12","1.33","","","2.49","1.47"
"1739930262-409","https://www.oddsportal.com/it/football/spain/laliga/results/","Barcellona","Las Palmas","1–2","14:00Barcellona11–2Las Palmas2","https://www.oddsportal.com/it/football/spain/laliga/barcellona-las-palmas-KQGA7ubK/","1.13","8.84","16.46","","1.22","3.92","","","1.77","1.93"
"1739930270-410","https://www.oddsportal.com/it/football/spain/laliga/results/","Alaves","Leganes","1–1","16:15Alaves11–1Leganes1","https://www.oddsportal.com/it/football/spain/laliga/alaves-leganes-WIFl0cjf/","1.78","3.14","5.55","","2.93","1.36","","","2.53","1.46"
"1739930279-411","https://www.oddsportal.com/it/football/spain/laliga/results/","Espanyol","Leganes","1–1","18:30Espanyol11–1Leganes1","https://www.oddsportal.com/it/football/spain/laliga/espanyol-leganes-zRK5hKWA/","2.12","2.92","4.03","","2.66","1.43","","","2.16","1.63"
"1739930287-412","https://www.oddsportal.com/it/football/spain/laliga/results/","Siviglia","Valencia","1–1","21:00Siviglia11–1Valencia1","https://www.oddsportal.com/it/football/spain/laliga/siviglia-valencia-r1m8j2uJ/","2.06","3.13","3.82","","2.29","1.56","","","2.00","1.72"
"1739930295-413","https://www.oddsportal.com/it/football/spain/laliga/results/","Las Palmas","Getafe","1–2","14:00Las Palmas11–2Getafe2","https://www.oddsportal.com/it/football/spain/laliga/las-palmas-getafe-IZuFngvo/","2.45","2.74","3.42","","2.99","1.34","","","2.29","1.56"
"1739930304-414","https://www.oddsportal.com/it/football/spain/laliga/results/","Atl. Madrid","Osasuna","1–0","16:15Atl. Madrid11–0Osasuna0","https://www.oddsportal.com/it/football/spain/laliga/atl-madrid-osasuna-Gldifptf/","1.29","5.17","10.40","","1.78","1.95","","","2.25","1.58"
"1739930312-415","https://www.oddsportal.com/it/football/spain/laliga/results/","Real Sociedad","Villarreal","1–0","21:00Real Sociedad11–0Villarreal0","https://www.oddsportal.com/it/football/spain/laliga/real-sociedad-villarreal-Amk0hOA6/","1.96","3.36","3.92","","1.88","1.85","","","1.74","1.98"
"1739930320-416","https://www.oddsportal.com/it/football/spain/laliga/results/","Espanyol","Ath. Bilbao","1–1","14:00Espanyol11–1Ath. Bilbao1","https://www.oddsportal.com/it/football/spain/laliga/espanyol-ath-bilbao-Mebn5cGG/","5.03","3.40","1.75","","2.25","1.58","","","2.11","1.65"
"1739930329-417","https://www.oddsportal.com/it/football/spain/laliga/results/","Valladolid","Siviglia","0–4","16:15Valladolid00–4Siviglia4","https://www.oddsportal.com/it/football/spain/laliga/valladolid-siviglia-EcN7fpgL/","4.06","3.28","1.95","","2.20","1.61","","","1.97","1.75"
"1739930337-418","https://www.oddsportal.com/it/football/spain/laliga/results/","Maiorca","Las Palmas","3–1","18:30Maiorca33–1Las Palmas1","https://www.oddsportal.com/it/football/spain/laliga/maiorca-las-palmas-UVOvm2oe/","1.78","3.38","4.84","","2.26","1.58","","","2.12","1.65"
"1739930345-419","https://www.oddsportal.com/it/football/spain/laliga/results/","Betis","Real Sociedad","3–0","21:00Betis33–0Real Sociedad0","https://www.oddsportal.com/it/football/spain/laliga/betis-real-sociedad-U9m4zP1k/","2.38","3.06","3.17","","2.28","1.57","","","1.89","1.82"
"1739930354-420","https://www.oddsportal.com/it/football/spain/laliga/results/","Barcellona","Vallecano","1–0","21:00Barcellona11–0Vallecano0","https://www.oddsportal.com/it/football/spain/laliga/barcellona-vallecano-vT6XhXHG/","1.20","6.98","11.96","","1.30","3.28","","","1.73","2.00"
"1739930410-421","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Villarreal","Barcellona","3–4","17:30Villarreal33–4Barcellona4","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/villarreal-barcellona-Y31xB0QR/","3.33","3.59","2.07","","1.59","2.25","","","1.51","2.41"
"1739930419-422","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Valencia","Osasuna","1–2","19:30Valencia11–2Osasuna2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/valencia-osasuna-rwm85vlk/","1.78","3.33","4.90","","2.45","1.51","","","2.22","1.60"
"1739930427-423","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Ath. Bilbao","Betis","4–2","21:30Ath. Bilbao44–2Betis2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/ath-bilbao-betis-lGRYjuZe/","1.89","3.41","4.10","","2.07","1.69","","","1.88","1.83"
"1739930435-424","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Getafe","Alaves","1–0","19:30Getafe11–0Alaves0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/getafe-alaves-MToC4b3e/","2.40","2.66","3.66","","3.58","1.26","","","2.65","1.43"
"1739930444-425","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Vallecano","Atl. Madrid","0–7","21:30Vallecano00–7Atl. Madrid7","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/vallecano-atl-madrid-juCXBtBL/","3.87","3.24","2.01","","2.18","1.63","","","1.93","1.80"
"1739930452-426","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Alaves","Osasuna","0–2","16:15Alaves00–2Osasuna2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/alaves-osasuna-UTsNuXnG/","2.48","2.95","3.17","","2.60","1.45","","","2.06","1.69"
"1739930461-427","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Betis","Valencia","3–0","21:00Betis33–0Valencia0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/betis-valencia-vukArZ2c/","2.04","3.25","3.83","","2.19","1.62","","","1.93","1.79"
"1739930469-428","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Atl. Madrid","Cadice","3–2","21:00Atl. Madrid33–2Cadice2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/atl-madrid-cadice-E1cOKVAj/","1.31","5.25","9.78","","1.73","2.02","","","2.13","1.64"
"1739930478-429","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Las Palmas","Celta Vigo","2–1","21:00Las Palmas22–1Celta Vigo1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/las-palmas-celta-vigo-jqWVwBHS/","2.89","3.04","2.61","","2.23","1.60","","","1.90","1.81"
"1739930486-430","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Ath. Bilbao","Almeria","3–0","21:00Ath. Bilbao33–0Almeria0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/ath-bilbao-almeria-nRThgjHF/","1.30","5.61","9.24","","1.51","2.42","","","1.85","1.87"
"1739930495-431","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Barcellona","Alaves","2–1","16:15Barcellona22–1Alaves1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/barcellona-alaves-8GjFNhSN/","1.24","6.20","11.50","","1.57","2.29","","","2.12","1.65"
"1739930503-432","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Siviglia","Betis","1–1","18:30Siviglia11–1Betis1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/siviglia-betis-2D0fSGDh/","2.14","3.43","3.32","","1.83","1.91","","","1.68","2.07"
"1739930512-433","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Atl. Madrid","Villarreal","3–1","21:00Atl. Madrid33–1Villarreal1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/atl-madrid-villarreal-fmcnUxqt/","1.33","5.53","8.03","","1.42","2.70","","","1.70","2.04"
"1739930520-434","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Alaves","Granada","3–1","21:00Alaves33–1Granada1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/alaves-granada-xWExufcb/","1.69","3.60","5.31","","2.14","1.64","","","2.05","1.70"
"1739930529-435","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Vallecano","Barcellona","1–1","14:00Vallecano11–1Barcellona1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/vallecano-barcellona-2wClxhsH/","4.91","3.97","1.66","","1.64","2.15","","","1.65","2.12"
"1739930537-436","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Cadice","Real Sociedad","0–0","19:00Cadice00–0Real Sociedad0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/cadice-real-sociedad-6okD1TRP/","5.86","3.51","1.65","","2.33","1.55","","","2.24","1.58"
"1739930546-437","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Betis","Girona","1–1","19:00Betis11–1Girona1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/betis-girona-Sfj929CJ/","2.63","3.49","2.53","","1.67","2.09","","","1.56","2.29"
"1739930554-438","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Maiorca","Osasuna","3–2","21:30Maiorca33–2Osasuna2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/maiorca-osasuna-CSRucmzs/","2.21","2.87","3.87","","2.89","1.37","","","2.31","1.56"
"1739930563-439","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Alaves","Real Madrid","0–1","21:30Alaves00–1Real Madrid1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/alaves-real-madrid-bqUifoKa/","5.71","3.98","1.57","","1.79","1.96","","","1.84","1.88"
"1739930572-440","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Atl. Madrid","Siviglia","1–0","16:15Atl. Madrid11–0Siviglia0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/atl-madrid-siviglia-IeuL2xY7/","1.57","4.08","5.65","","1.72","2.03","","","1.77","1.97"
"1739930580-441","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Villarreal","Cadice","0–0","14:00Villarreal00–0Cadice0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/villarreal-cadice-f5GwRti6/","1.59","3.99","5.52","","1.76","1.98","","","1.78","1.93"
"1739930588-442","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Osasuna","Celta Vigo","0–3","16:15Osasuna00–3Celta Vigo3","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/osasuna-celta-vigo-88KsQ06C/","2.15","3.04","3.72","","2.53","1.47","","","2.07","1.68"
"1739930597-443","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Betis","Getafe","1–1","18:30Betis11–1Getafe1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/betis-getafe-8zsFOmV7/","1.97","3.22","4.18","","2.23","1.60","","","1.95","1.77"
"1739930605-444","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Real Madrid","Atl. Madrid","1–1","21:00Real Madrid11–1Atl. Madrid1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/real-madrid-atl-madrid-0rHZRMy0/","1.67","4.06","4.65","","1.56","2.32","","","1.55","2.32"
"1739930614-445","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Vallecano","Siviglia","1–2","21:00Vallecano11–2Siviglia2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/vallecano-siviglia-OrP1niNE/","2.11","3.20","3.67","","2.22","1.60","","","1.92","1.79"
"1739930622-446","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Las Palmas","Ath. Bilbao","0–2","16:15Las Palmas00–2Ath. Bilbao2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/las-palmas-ath-bilbao-I3qHcZrr/","4.68","3.43","1.81","","2.07","1.69","","","1.94","1.78"
"1739930631-447","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Real Madrid","Celta Vigo","4–0","18:30Real Madrid44–0Celta Vigo0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/real-madrid-celta-vigo-EVxQeDDf/","1.30","5.57","9.23","","1.53","2.38","","","1.91","1.81"
"1739930639-448","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Betis","Villarreal","2–3","21:00Betis22–3Villarreal3","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/betis-villarreal-Q54x5Hj8/","2.11","3.50","3.33","","1.73","2.01","","","1.61","2.19"
"1739930648-449","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Almeria","Siviglia","2–2","21:00Almeria22–2Siviglia2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/almeria-siviglia-0SCjsEb1/","3.35","3.31","2.17","","1.95","1.79","","","1.75","1.98"
"1739930656-450","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Real Sociedad","Cadice","2–0","21:00Real Sociedad22–0Cadice0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/real-sociedad-cadice-xSIgBhDs/","1.42","4.14","9.22","","2.24","1.59","","","2.56","1.46"
"1739930665-451","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Cadice","Maiorca","1–1","14:00Cadice11–1Maiorca1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/cadice-maiorca-lOmUla13/","2.73","2.75","3.03","","3.08","1.34","","","2.36","1.53"
"1739930674-452","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Granada","Osasuna","3–0","16:15Granada33–0Osasuna0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/granada-osasuna-romYmJG9/","2.33","3.04","3.26","","2.30","1.56","","","1.93","1.78"
"1739930683-453","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Villarreal","Vallecano","3–0","18:30Villarreal33–0Vallecano0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/villarreal-vallecano-8SWCty9q/","1.78","3.66","4.45","","1.84","1.88","","","1.78","1.94"
"1739930691-454","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Betis","Siviglia","1–1","21:00Betis11–1Siviglia1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/betis-siviglia-AXlQkunc/","1.97","3.34","3.90","","2.05","1.70","","","1.86","1.86"
"1739930700-455","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Barcellona","Valencia","4–2","21:00Barcellona44–2Valencia2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/barcellona-valencia-YF5sRe9d/","1.32","5.50","8.51","","1.45","2.58","","","1.79","1.94"
"1739930708-456","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Real Madrid","Betis","0–0","21:00Real Madrid00–0Betis0","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/real-madrid-betis-txwTE7xN/","1.21","6.91","11.04","","1.30","3.28","","","1.70","2.04"
"1739930717-457","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Getafe","Maiorca","1–2","14:00Getafe11–2Maiorca2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/getafe-maiorca-GUi3KB8o/","2.32","3.10","3.22","","2.38","1.52","","","1.98","1.73"
"1739930725-458","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Las Palmas","Alaves","1–1","16:15Las Palmas11–1Alaves1","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/las-palmas-alaves-hCtXDRiT/","2.31","3.37","2.99","","1.85","1.88","","","1.67","2.07"
"1739930734-459","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Celta Vigo","Valencia","2–2","16:15Celta Vigo22–2Valencia2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/celta-vigo-valencia-2R3LeSVp/","1.89","3.57","3.83","","1.75","1.97","","","1.67","2.07"
"1739930742-460","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/results/","Siviglia","Barcellona","1–2","21:00Siviglia11–2Barcellona2","https://www.oddsportal.com/it/football/spain/laliga-2023-2024/siviglia-barcellona-bDmOFmNG/","4.39","4.16","1.67","","1.45","2.58","","","1.46","2.53"
"1739930796-461","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Getafe","Villarreal","0–0","17:30Getafe00–0Villarreal0","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/getafe-villarreal-xdUTbkmg/","5.03","3.62","1.72","","2.03","1.72","","","1.95","1.77"
"1739930804-462","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Barcellona","Valladolid","4–0","19:30Barcellona44–0Valladolid0","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/barcellona-valladolid-SMvf5iAP/","1.14","8.71","16.47","","1.29","3.34","","","2.02","1.72"
"1739930813-463","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Espanyol","Real Madrid","1–3","22:00Espanyol11–3Real Madrid3","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/espanyol-real-madrid-KKJYc92a/","6.11","4.53","1.49","","1.60","2.23","","","1.73","2.00"
"1739930821-464","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Cadice","Ath. Bilbao","0–4","20:00Cadice00–4Ath. Bilbao4","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/cadice-ath-bilbao-QHMtdmXB/","3.93","3.18","2.06","","2.40","1.52","","","2.08","1.68"
"1739930830-465","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Valencia","Atl. Madrid","0–1","22:00Valencia00–1Atl. Madrid1","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/valencia-atl-madrid-48Lpe7nI/","4.17","3.28","1.95","","2.11","1.66","","","1.91","1.81"
"1739930839-466","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Valladolid","Betis","0–0","14:00Valladolid00–0Betis0","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/valladolid-betis-d0evOHwJ/","2.91","3.40","2.38","","1.81","1.92","","","1.65","2.12"
"1739930849-467","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Cadice","Espanyol","2–2","16:15Cadice22–2Espanyol2","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/cadice-espanyol-Gp0JSuPm/","2.87","3.05","2.63","","2.39","1.53","","","1.98","1.75"
"1739930857-468","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Real Sociedad","Villarreal","1–0","18:30Real Sociedad11–0Villarreal0","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/real-sociedad-villarreal-CCgSQJg0/","2.61","3.26","2.72","","1.98","1.76","","","1.75","1.97"
"1739930866-469","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Barcellona","Celta Vigo","1–0","21:00Barcellona11–0Celta Vigo0","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/barcellona-celta-vigo-2wKrZsnK/","1.28","5.79","9.95","","1.46","2.57","","","1.86","1.86"
"1739930874-470","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Elche","Maiorca","1–1","21:00Elche11–1Maiorca1","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/elche-maiorca-p29mY11Q/","2.95","2.98","2.63","","2.42","1.51","","","1.99","1.74"
"1739930883-471","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Atl. Madrid","Espanyol","1–1","14:00Atl. Madrid11–1Espanyol1","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/atl-madrid-espanyol-hr5SKoS2/","1.51","4.17","6.46","","1.93","1.80","","","2.03","1.72"
"1739930891-472","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Real Sociedad","Valencia","1–1","16:15Real Sociedad11–1Valencia1","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/real-sociedad-valencia-va7vIqCL/","1.92","3.32","4.26","","2.18","1.63","","","1.95","1.77"
"1739930900-473","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Villarreal","Maiorca","0–2","18:30Villarreal00–2Maiorca2","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/villarreal-maiorca-UqEBA14e/","1.74","3.49","5.10","","2.17","1.62","","","2.06","1.69"
"1739930908-474","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Betis","Siviglia","1–1","21:00Betis11–1Siviglia1","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/betis-siviglia-6o9WJ5s9/","2.07","3.23","3.79","","2.12","1.66","","","1.86","1.86"
"1739930917-475","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Vallecano","Real Madrid","3–2","21:00Vallecano33–2Real Madrid2","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/vallecano-real-madrid-KAOyH3RR/","4.79","3.75","1.72","","1.81","1.92","","","1.77","1.95"
"1739930925-476","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Barcellona","Getafe","1–0","18:30Barcellona11–0Getafe0","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/barcellona-getafe-UJ6EmdJ3/","1.24","5.85","13.10","","1.71","2.04","","","2.51","1.48"
"1739930934-477","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Ath. Bilbao","Real Madrid","0–2","21:00Ath. Bilbao00–2Real Madrid2","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/ath-bilbao-real-madrid-YiD5kIli/","2.89","3.32","2.45","","1.89","1.85","","","1.70","2.05"
"1739930942-478","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Valencia","Almeria","2–2","21:00Valencia22–2Almeria2","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/valencia-almeria-8Yq1vhtj/","1.60","4.02","5.49","","1.73","2.01","","","1.77","1.96"
"1739930951-479","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Almeria","Espanyol","3–1","21:00Almeria33–1Espanyol1","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/almeria-espanyol-dfQe0Z29/","2.42","3.11","3.11","","2.08","1.69","","","1.80","1.93"
"1739930960-480","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Cadice","Maiorca","2–0","14:00Cadice22–0Maiorca0","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/cadice-maiorca-lUMm2eYd/","2.84","2.68","3.02","","3.25","1.31","","","2.40","1.52"
"1739930969-481","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Ath. Bilbao","Girona","2–3","14:00Ath. Bilbao22–3Girona3","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/ath-bilbao-girona-W8rfztpt/","1.64","3.83","5.44","","1.98","1.76","","","1.97","1.76"
"1739930977-482","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Celta Vigo","Valladolid","3–0","16:15Celta Vigo33–0Valladolid0","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/celta-vigo-valladolid-AasbZaan/","1.66","3.88","5.13","","1.86","1.87","","","1.86","1.87"
"1739930986-483","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Almeria","Barcellona","1–0","18:30Almeria11–0Barcellona0","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/almeria-barcellona-pWlAWcq5/","6.77","4.71","1.44","","1.55","2.32","","","1.74","2.00"
"1739930994-484","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Siviglia","Osasuna","2–3","21:00Siviglia22–3Osasuna3","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/siviglia-osasuna-Cp5jCTcj/","1.69","3.59","5.50","","2.23","1.59","","","2.14","1.64"
"1739931003-485","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Villarreal","Getafe","2–1","21:00Villarreal22–1Getafe1","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/villarreal-getafe-ULFoD9rp/","1.69","3.42","5.88","","2.46","1.50","","","2.31","1.55"
"1739931011-486","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Valladolid","Maiorca","3–3","14:00Valladolid33–3Maiorca3","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/valladolid-maiorca-UyQ5p0RT/","2.50","2.87","3.28","","2.67","1.43","","","2.16","1.63"
"1739931020-487","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Betis","Cadice","0–2","16:15Betis00–2Cadice2","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/betis-cadice-QPQxiprn/","1.64","3.70","5.62","","2.04","1.71","","","2.01","1.72"
"1739931028-488","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Almeria","Valencia","2–1","18:30Almeria22–1Valencia1","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/almeria-valencia-nuFokOCb/","3.29","3.39","2.18","","1.84","1.89","","","1.66","2.11"
"1739931036-489","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Vallecano","Atl. Madrid","1–2","21:00Vallecano11–2Atl. Madrid2","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/vallecano-atl-madrid-f5Igm2sB/","4.73","3.43","1.80","","2.33","1.56","","","2.12","1.65"
"1739931045-490","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Barcellona","Girona","0–0","21:00Barcellona00–0Girona0","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/barcellona-girona-CMMYiQSu/","1.31","5.56","8.86","","1.50","2.44","","","1.84","1.88"
"1739931053-491","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/results/","Atl. Madrid","Cadice","5–1","22:00Atl. Madrid55–1Cadice1","https://www.oddsportal.com/it/football/spain/laliga-2022-2023/atl-madrid-cadice-W2N2u8pQ/","1.27","5.69","10.98","","1.61","2.20","","","2.13","1.66"
